year;month;state;latitude;longitude;firespots
2002;5;PARA;-63.339.816.666.666.600;-506.111.105.555.555.000;18
2002;5;RONDONIA;-125.076.680.000.000.000;-600.581.120.000.000.000;15
2002;5;TOCANTINS;-72.206.680.000.000.000;-484.586.660.000.000.000;5
2002;6;AMAZONAS;-80.110.000.000.000.000;-635.953.340.000.000.000;5
2002;6;MARANHAO;-45.416.661.538.461.500;-473.872.511.538.461.000;26
2002;6;MATO GROSSO;-118.631.769.415.487.000;-554.516.328.611.317.000;5372
2002;6;PARA;-74.492.730.201.342.200;-508.458.749.664.429.000;149
2002;6;RONDONIA;-107.165.037.062.937.000;-624.036.618.881.118.000;143
2002;6;TOCANTINS;-72.219.042.857.142.800;-484.007.100.000.000.000;7
2002;7;ACRE;-93.861.973.684.210.500;-692.365.834.210.526.000;76
2002;7;AMAPA;0.79211000000000000000;-514.918.900.000.000.000;3
2002;7;AMAZONAS;-60.055.159.753.086.400;-624.467.861.234.567.000;405
2002;7;MARANHAO;-36.450.016.666.666.600;-460.661.008.080.808.000;198
2002;7;MATO GROSSO;-111.387.920.920.551.000;-560.333.815.199.809.000;8408
2002;7;PARA;-57.977.762.108.980.800;-518.636.219.273.461.000;1982
2002;7;RONDONIA;-106.437.731.155.778.000;-627.632.848.844.221.000;995
2002;7;RORAIMA;35.295.454.545.454.500;-608.510.909.090.909.000;11
2002;7;TOCANTINS;-70.213.707.407.407.400;-484.792.585.185.185.000;27
2002;8;ACRE;-93.330.596.433.378.100;-693.664.925.908.479.000;1486
2002;8;AMAPA;12.941.468.000.000.000;-511.629.068.000.000.000;25
2002;8;AMAZONAS;-64.937.098.149.905.100;-631.743.959.772.296.000;2108
2002;8;MARANHAO;-36.613.112.518.853.600;-460.386.565.309.200.000;663
2002;8;MATO GROSSO;-106.468.190.694.526.000;-555.911.262.397.428.000;23642
2002;8;PARA;-72.728.717.721.352.100;-517.372.266.094.499.000;37926
2002;8;RONDONIA;-106.593.933.993.220.000;-627.754.881.925.423.000;7375
2002;8;RORAIMA;24.761.900.000.000.000;-605.290.319.047.619.000;21
2002;8;TOCANTINS;-71.348.603.225.806.400;-485.713.073.502.304.000;434
2002;9;ACRE;-96.875.424.956.200.100;-689.223.411.193.303.000;5137
2002;9;AMAPA;12.662.907.109.004.700;-509.320.238.388.625.000;211
2002;9;AMAZONAS;-64.261.187.306.333.200;-638.468.335.036.694.000;3679
2002;9;MARANHAO;-37.022.546.841.294.200;-462.449.283.281.972.000;1298
2002;9;MATO GROSSO;-117.161.439.589.480.000;-560.265.308.612.358.000;23385
2002;9;PARA;-58.943.624.566.971.900;-504.566.728.144.554.000;22054
2002;9;RONDONIA;-110.077.434.428.229.000;-627.020.721.325.622.000;22133
2002;9;RORAIMA;34.192.901.526.717.500;-606.284.248.854.961.000;131
2002;9;TOCANTINS;-73.616.183.355.704.600;-486.402.177.785.234.000;1490
2002;10;ACRE;-98.140.157.130.203.700;-686.309.093.888.396.000;1129
2002;10;AMAPA;15.737.434.787.472.000;-512.202.826.398.210.000;894
2002;10;AMAZONAS;-46.053.820.722.681.700;-610.353.057.771.005.000;2297
2002;10;MARANHAO;-41.706.866.693.827.600;-462.340.304.746.384.000;4909
2002;10;MATO GROSSO;-122.938.279.418.684.000;-568.396.230.887.151.000;13177
2002;10;PARA;-41.617.957.360.987.400;-506.119.253.422.827.000;15718
2002;10;RONDONIA;-110.279.839.055.441.000;-627.709.387.419.575.000;7305
2002;10;RORAIMA;34.582.577.346.278.300;-605.443.474.433.656.000;309
2002;10;TOCANTINS;-64.857.800.338.409.400;-484.386.108.291.032.000;591
2002;11;ACRE;-100.419.651.633.986.000;-684.962.396.732.026.000;153
2002;11;AMAPA;0.89397779329608938547;-511.399.458.938.547.000;2148
2002;11;AMAZONAS;-34.985.902.007.168.400;-596.788.346.236.559.000;1395
2002;11;MARANHAO;-35.251.720.289.698.400;-458.535.808.928.764.000;9251
2002;11;MATO GROSSO;-127.079.371.027.709.000;-564.594.804.138.898.000;2851
2002;11;PARA;-28.213.842.537.421.100;-507.783.665.033.450.000;20777
2002;11;RONDONIA;-110.635.941.715.399.000;-627.900.185.185.185.000;1026
2002;11;RORAIMA;29.997.685.763.888.800;-604.210.879.861.111.000;288
2002;11;TOCANTINS;-64.892.978.571.428.500;-484.579.285.714.285.000;28
2002;12;ACRE;-94.976.666.666.666.600;-698.820.000.000.000.000;3
2002;12;AMAPA;0.55535169336384439359;-511.625.774.141.876.000;437
2002;12;AMAZONAS;-28.637.714.642.857.100;-601.641.106.428.571.000;280
2002;12;MARANHAO;-30.033.443.645.409.300;-458.201.040.434.192.000;4422
2002;12;MATO GROSSO;-123.675.531.828.193.000;-555.549.600.220.264.000;908
